x,y
4.912153519579695593e-01,3.230589070729959766e-02
4.791236303651983386e-01,3.526453597096367715e-02
4.670389399862397428e-01,3.816610962580314209e-02
4.549686172998655964e-01,4.100761316181342209e-02
4.429200043282327526e-01,4.378611009084071304e-02
4.309004444216495422e-01,4.649873181126445987e-02
4.189172780035904098e-01,4.914268358311654761e-02
4.069429099694711338e-01,5.172004131134927407e-02
3.949545020908061810e-01,5.421817913906752662e-02
3.830203315633813332e-01,5.661982085813793697e-02
3.711480774964130980e-01,5.892286438071386856e-02
3.593454092542306966e-01,6.112535896860901707e-02
3.476199803547004308e-01,6.322551000069540073e-02
3.359794222229051663e-01,6.522168342506864946e-02
3.244313378081712385e-01,6.711240984946760524e-02
3.129832950742437170e-01,6.889638822389339279e-02
3.016428203740755820e-01,7.057248907031231366e-02
2.904173917223041301e-01,7.213975721574693301e-02
2.793144319799951703e-01,7.359741398695628101e-02
2.683413019676428868e-01,7.494485882727047743e-02
2.575052935236807894e-01,7.618167029896312503e-02
2.468136225268794393e-01,7.730760643779677199e-02
2.362734219019526627e-01,7.832260443003978556e-02
2.258917346284626537e-01,7.922677958630049144e-02
2.156755067736826348e-01,8.002042359092079171e-02
2.056315805704403421e-01,8.070400201038530064e-02
1.957666875611208113e-01,8.127815104919235145e-02
1.860874418289453491e-01,8.174367354685588283e-02
1.766003333373697415e-01,8.210153421512278449e-02
1.673117213979581630e-01,8.235285412004558769e-02
1.582278282864003904e-01,8.249890441920285089e-02
1.493547330254499927e-01,8.254109937005538189e-02
1.406983653524947475e-01,8.248098863111638646e-02
1.322644998882266387e-01,8.232024888324981915e-02
1.240587505214881259e-01,8.206067480393752778e-02
1.160865650238448454e-01,8.170416943272892918e-02
1.083532199057949952e-01,8.125273397125346020e-02
1.008638155247974233e-01,8.070845706609319770e-02
9.362327145350340940e-02,8.007350362743199945e-02
8.663632211473892841e-02,7.935010324067989784e-02
7.990751268792783968e-02,7.854053823217511943e-02
7.344119528979789480e-02,7.764713145355604806e-02
6.724152543039407792e-02,7.667223385243868150e-02
6.131245874366370030e-02,7.561821189960264700e-02
5.565774799019490571e-02,7.448743494495503603e-02
5.028094032811122882e-02,7.328226257608751182e-02
4.518537484666251824e-02,7.200503205424885200e-02
4.037418035573306363e-02,7.065804590301318078e-02
3.585027342332333666e-02,6.924355972482498789e-02
3.161635665206244394e-02,6.776377031994385014e-02
2.767491718499423548e-02,6.622080418109442534e-02
2.402822543025076585e-02,6.461670643536124303e-02
2.067833399379329085e-02,6.295343030256031480e-02
1.762707680916236752e-02,6.123282713648826869e-02
1.487606845314040638e-02,5.945663711211462282e-02
1.242670363637904396e-02,5.762648061796681737e-02
1.028015685838629123e-02,5.574385040868884422e-02
8.437382216786720734e-03,5.381010456806649411e-02
6.899113361451492121e-03,5.182646032773530198e-02
5.665863584937674835e-03,4.979398878136660767e-02
4.737926041650880604e-03,4.771361052839555306e-02
4.115374089242368472e-03,4.558609227536303266e-02
3.798061746947994921e-03,4.341204441673258280e-02
